date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-28,15.1,9,19.1,0,,315,13.2,,1012.4,
2023-01-29,14.8,13,18.9,0,,314,11.9,,1012.5,
2023-01-30,15.1,13.5,19,0,,297,13.1,,1012.3,
2023-01-31,15.1,13.6,18,0,,308,12.2,,1013.5,
2023-02-01,14.7,13,17.3,0,,298,11.4,,1016,
2023-02-02,14.7,9,19,0,,325,11.8,,1013,
2023-02-03,16.2,10.4,20.6,0,,326,19,,1011.1,
2023-02-04,16.8,12,21,0,,333,12.6,,1013.2,
2023-02-05,16.3,12,20,0,,222,10.3,,1015.2,
2023-02-06,16,14,20.7,0,,314,10.9,,1013.4,
2023-02-07,16.1,14,19.2,0,,301,13.2,,1012.4,
2023-02-08,16.1,12.7,19,0,,303,10.6,,1012.6,
2023-02-09,15.4,13,18,0,,340,11.1,,1011.6,
2023-02-10,15.4,9.4,20,0,,325,14,,1011.9,
2023-02-11,16.3,9.9,24,0,,5,12.4,,1010.3,
2023-02-12,15.6,9.2,20.4,0,,301,13.5,,1012.1,
2023-02-13,16.2,10.2,22,0,,191,20.1,,1013.2,
2023-02-14,16.9,9.4,22,0,,221,18,,1013,
2023-02-15,15.4,9.7,19,0,,308,13.8,,1011.5,
2023-02-16,14.9,11,17.1,0,,308,13.9,,1013.2,
2023-02-17,14,7.8,18,0,,266,10.9,,1012,
2023-02-18,15.4,9,20,0,,266,10.8,,1013.6,
2023-02-19,14.9,10.5,18.2,0,,265,10.4,,1014.6,
2023-02-20,15.1,11.2,17.5,0,,312,10.2,,1011.9,
2023-02-21,15.5,12.6,18,0,,347,13.4,,1011.5,
2023-02-22,16.2,12.6,18.8,0,,299,13.1,,1016.1,
2023-02-23,14.4,12.4,15.8,0,,275,9.3,,1016.5,
2023-02-24,16.1,13.5,19,0,,341,13.5,,1016.3,
2023-02-25,17,14,20.5,0,,248,12.4,,1016.5,
2023-02-26,16.1,9.5,20.7,0,,140,14,,1014.8,
2023-02-27,14.5,8,19.4,0,,294,11.3,,1013.1,
2023-02-28,14.8,12,17,0,,315,11.3,,1015.6,
2023-03-01,14.8,9,20.2,0,,227,16,,1013.5,
2023-03-02,14.2,9,18.3,0,,309,11.4,,1010.6,
2023-03-03,16.1,13.6,19.3,0,,301,11.4,,1012.6,
2023-03-04,14.7,11.9,17.5,0,,311,12,,1011.9,
2023-03-05,15,9,19.2,0,,322,12.1,,1011.1,
2023-03-06,16.2,14.5,19,0,,296,12,,1014.6,
2023-03-07,14.4,12.5,16.3,0,,318,11.6,,1014.1,
2023-03-08,17,14.9,19.7,0,,243,14.8,,1016.8,
2023-03-09,15.2,12.7,17.4,0,,236,10.2,,1015.6,
2023-03-10,14.7,11.5,17.1,0,,295,9,,1015,
2023-03-11,15.9,12,19.7,0,,281,11.8,,1016.3,
2023-03-12,15.5,10.2,20,0,,224,9.5,,1016.8,
2023-03-13,15.9,13,20.1,0,,239,12.9,,1016.1,
2023-03-14,15.8,12,18.8,0,,292,12.8,,1015.9,
2023-03-15,15.9,8.5,23.2,0,,174,10.6,,1017.7,
2023-03-16,16.3,9.5,21.3,0,,258,7.9,,1016.6,
2023-03-17,16.7,14.1,19.2,0,,274,11.4,,1017.2,
2023-03-18,16.7,11.2,21.1,0,,162,11.5,,1014.4,
2023-03-19,16.3,11,20,0,,287,8.9,,1013.2,
2023-03-20,16.3,14,19.5,0,,336,13.1,,1015.6,
2023-03-21,15.8,13.7,19,0,,307,8.2,,1015.6,
2023-03-22,14.2,9.5,22.5,0,,154,9.7,,1014.8,
2023-03-23,14.1,8,19.5,0,,14,9.4,,1013.3,
2023-03-24,14.3,8,20.2,0,,274,10.9,,1014.3,
2023-03-25,15.5,9,22.3,0,,41,14.3,,1014.4,
2023-03-26,14.3,11.4,17.7,0,,334,12.3,,1014.3,
2023-03-27,14.5,13.7,16.2,0,,285,11.4,,1014.1,
2023-03-28,14.4,12,17.5,0,,265,10.4,,1015,
2023-03-29,15.4,10,20,0,,205,14.1,,1015.5,
2023-03-30,13,6,21,0,,171,12.9,,1015.5,
2023-03-31,13.7,7,21.5,0,,218,11,,1014.3,
2023-04-01,13.3,7.5,19,0,,60,9.3,,1013,
2023-04-02,13.7,7.7,21,0,,211,10.2,,1013.3,
2023-04-03,13.2,8,18,0,,193,10.6,,1012.8,
2023-04-04,13.7,7.1,19.1,0,,165,9.1,,1011.5,
2023-04-05,13.1,8.3,16.7,0.1,,195,11.7,,1014.6,
2023-04-06,14,8,20.6,0,,142,11.5,,1015.3,
2023-04-07,13.1,7.5,19.7,0,,228,10.1,,1013,
2023-04-08,12,5.4,16.7,0,,300,10,,1014.4,
2023-04-09,12.2,9.2,15,0,,271,8.1,,1015.5,
2023-04-10,13.5,7.5,19,0,,65,9.9,,1014,
2023-04-11,14.4,10.2,17.5,0,,250,10.7,,1014.7,
2023-04-12,13.8,12.6,15,0,,286,7.8,,1014.4,
2023-04-13,14.4,10.8,19.5,0,,219,15.4,,1014.3,
2023-04-14,13.5,8.7,17,0,,244,11,,1016,
2023-04-15,13,9.2,15.2,0,,315,11.2,,1016.7,
2023-04-16,13,9.2,16.5,0,,244,11.5,,1019.7,
2023-04-17,11.7,6.1,16.2,0,,188,13.6,,1018.7,
2023-04-18,11.2,3.7,20,0,,188,13.2,,1020.1,
2023-04-19,14,7.6,23.1,0,,128,13.9,,1014.5,
2023-04-20,13.3,11.7,15.9,0,,334,13.7,,1015,
2023-04-21,14.6,9.7,18.7,0,,162,10.2,,1017.3,
2023-04-22,11.8,8.1,15.1,0,,254,9.5,,1016.3,
2023-04-23,12.7,11.5,14.5,0,,326,10.3,,1017.7,
2023-04-24,12.6,11.9,13,0,,289,8,,1018.6,
2023-04-25,11.9,10.9,13.1,0,,239,8.2,,1016.2,
2023-04-26,12.9,11.2,17,0,,329,8.3,,1016.3,
